Sample Rate : 16.0 Hz
Weld Speed, mm/min
Weld Distance, mm
Line Number, 
Weld Fail, 
X Cmd (Part), mm
X Fbk (Part), mm
X Cmd (Joint), mm
X Fbk (Joint), mm
X Force (World), kN
X Servo Cmd, V
X Servo Error, mm
Y Cmd (Part), mm
Y Fbk (Part), mm
Y Cmd (Joint), mm
Y Fbk (Joint), mm
Y Force (World), kN
Y Servo Cmd, V
Y Servo Error, mm
Z Cmd (Part), mm
Z Fbk (Part), mm
Z Cmd (Joint), mm
Z Fbk (Joint), mm
Z Force (World), kN
Z Servo Cmd, V
Z Servo Error, mm
Z Deflection from Z Force, mm
Forge Cmd, mm
Forge Force Cmd, kN
Forge Fbk (Raw), mm
Forge Servo Cmd, V
Forge Force Servo Cmd, V
Forge Servo Error, mm
Forge Fbk Filtered, mm
Forge Force Servo Error, kN
Spindle Speed Cmd, rpm
Spindle Speed Fbk, rpm
Spindle Speed Fbk (Filtered), rpm
Spindle Speed Fbk (Raw), rpm
Spindle Speed Error, 
Spindle Torque Fbk (Raw), Nm
Spindle Torque Fbk Unfiltered, Nm
Spindle Torque Fbk Filtered, Nm
Spindle Load Fbk (Raw), %
Spindle Load Fbk Unfiltered, %
Spindle Load Fbk Filtered, Nm
Tool X Force, kN
Tool Y Force, kN
Tool Z Force, kN
Dynamic Limit Error 1, kN
Dynamic Limit Status 1, 
Dynamic Limit Error 2, kN
Dynamic Limit Status 2, 
Dynamic Limit Error 3, kN
Dynamic Limit Status 3, 
Dynamic Limit Error 4, kN
Dynamic Limit Status 4, 
Dynamic Limit Error 5, mm
Dynamic Limit Status 5, 
Dynamic Limit Error 6, rpm
Dynamic Limit Status 6, 
Dynamic Limit Error 7, mm/min
Dynamic Limit Status 7, 
Dynamic Limit Error 8, mm/min
Dynamic Limit Status 8, 
Dynamic Limit Error 9, kN
Dynamic Limit Status 9, 
Dynamic Limit Error 10, mm
Dynamic Limit Status 10, 
Dynamic Limit Error 11, mm
Dynamic Limit Status 11, 
Z/Forge Fbk, mm
Z Fbk (Raw), 
398.0453, 0.0, 8.0, 0.0, 1292.308, 1292.213, 3199.024, 3198.93, -1.84195, 0.237136, 0.094482, -323.334, -323.256, 675.8921, 675.96, 0.27444, -0.34872, -0.07794, 50.14507, 50.1428, 237.4091, 237.4091, -0.10211, 0.063524, 0.002274, 0.0, 10.04394, 0.0, 9.995926, 0.014469, 0.014469, 0.045744, 9.995926, 0.0, 0.0, 7.127708, 7.127708, 7.127708, -0.1188, -8.05077, -8.05077, -8.05077, 0.021993, 0.021993, 2.20e-07, -0.12347, -0.14689, 0.122376, -8.1511, 0.0, 8.782241, 0.0, 6.848904, 0.0, -7.21776, 0.0, -10.9982, 0.0, 0.0, 0.0, 3316.955, 0.0, 1125.955, 0.0, -0.12234, 0.0, -10.9982, 0.0, -6.4982, 0.0, 247.405, 247.405
1408.475, 0.0, 8.0, 0.0, 1293.246, 1293.093, 3199.963, 3199.81, -2.69399, 0.480359, 0.153076, -324.359, -324.271, 674.8678, 674.935, 0.197329, -0.69138, -0.08722, 50.58483, 50.58025, 237.8488, 237.8488, -0.06887, 0.170549, 0.004578, 0.0, 9.946796, 0.0, 9.901169, -0.01009, -0.01009, 0.041049, 9.901169, 0.0, 0.0, 7.50707, 7.50707, 7.50707, -0.09983, -8.12251, -8.12251, -8.12251, 0.002998, 0.002998, 3.00e-08, -0.33526, -0.26433, 0.09794, -8.33365, 0.0, 9.356703, 0.0, 6.666348, 0.0, -6.6433, 0.0, -10.9057, 0.0, 0.0, 0.0, 2306.525, 0.0, 115.5246, 0.0, -0.11768, 0.0, -10.9057, 0.0, -6.40575, 0.0, 247.755, 247.755
2383.402, 0.0, 8.0, 0.0, 1294.813, 1294.598, 3201.531, 3201.355, -2.65009, 0.725514, 0.215576, -326.07, -325.987, 673.157, 673.24, 0.071554, -1.02777, -0.08295, 51.3193, 51.31242, 238.5833, 238.5833, -0.01626, 0.275115, 0.006882, 0.0, 9.784544, 0.0, 9.741699, -0.03171, -0.03171, 0.040968, 9.741699, 0.0, 0.0, 7.127708, 7.127708, 7.127708, -0.09667, -8.05077, -8.05077, -8.05077, 0.041748, 0.041748, 4.17e-07, -1.17907, -0.77396, -0.04532, -8.30877, 0.0, 9.2612, 0.0, 6.691234, 0.0, -6.7388, 0.0, -10.7436, 0.0, 0.0, 0.0, 1331.598, 0.0, -859.402, 0.0, -0.06273, 0.0, -10.7436, 0.0, -6.24358, 0.0, 248.33, 248.33
3380.176, 0.0, 8.0, 0.0, 1297.01, 1296.812, 3203.727, 3203.53, -1.60311, 0.954445, 0.197021, -328.467, -328.357, 670.7598, 670.835, 0.112825, -1.37994, -0.11017, 52.34849, 52.3393, 239.6125, 239.6125, -0.02221, 0.379803, 0.009186, 0.0, 9.557188, 0.0, 9.497513, -0.04038, -0.04038, 0.055494, 9.497513, 0.0, 0.0, 6.179305, 6.179305, 6.179305, -0.11247, -8.62471, -8.62471, -8.62471, 0.029211, 0.029211, 2.92e-07, -1.40288, -0.94467, -0.1136, -8.24797, 0.0, 9.220644, 0.0, 6.752027, 0.0, -6.77936, 0.0, -10.5017, 0.0, 0.0, 0.0, 334.8237, 0.0, -1856.18, 0.0, 0.06004, 0.0, -10.5017, 0.0, -6.00169, 0.0, 249.12, 249.12
4346.819, 0.0, 8.0, 0.0, 1299.834, 1299.682, 3206.553, 3206.4, -0.2555, 1.178571, 0.152588, -331.551, -331.452, 667.6762, 667.73, 0.314392, -1.7128, -0.09888, 53.67237, 53.66089, 240.9364, 240.9364, -0.07647, 0.484484, 0.011475, 0.0, 9.264728, 0.0, 9.183624, -0.04465, -0.04465, 0.074634, 9.183624, 0.0, 0.0, 6.368986, 6.368986, 6.368986, -0.09034, -8.40949, -8.40949, -8.40949, 0.035289, 0.035289, 3.53e-07, -1.06588, -0.82564, -0.04363, -8.28536, 0.0, 9.315934, 0.0, 6.714641, 0.0, -6.68407, 0.0, -10.1901, 0.0, 0.0, 0.0, -631.819, 0.0, -2822.82, 0.0, 0.092888, 0.0, -10.1901, 0.0, -5.69009, 0.0, 250.135, 250.135
5279.635, 0.0, 8.0, 0.0, 1303.288, 1303.091, 3210.007, 3209.905, 0.050786, 1.420269, 0.197021, -335.322, -335.243, 663.906, 663.985, 0.187384, -2.04119, -0.07892, 55.29098, 55.27718, 242.555, 242.555, -0.13975, 0.589163, 0.013794, 0.0, 8.907164, 0.0, 8.830017, -0.06714, -0.06714, 0.073347, 8.830017, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.10615, -8.48123, -8.48123, -8.48123, 0.042507, 0.042507, 4.25e-07, -1.09082, -0.82259, -0.05192, -8.35606, 0.0, 9.437388, 0.0, 6.643935, 0.0, -6.56261, 0.0, -9.83382, 0.0, 0.0, 0.0, -1564.64, 0.0, -3755.64, 0.0, 0.049805, 0.0, -9.83382, 0.0, -5.33382, 0.0, 251.4, 251.4
6163.743, 0.0, 8.0, 0.0, 1307.371, 1307.186, 3214.09, 3213.905, -0.65383, 1.650869, 0.185303, -339.779, -339.714, 659.4495, 659.515, 0.467602, -2.37275, -0.06549, 57.20429, 57.18819, 244.4683, 244.4683, -0.09474, 0.693845, 0.016098, 0.0, 8.484495, 0.0, 8.421707, -0.10297, -0.10297, 0.0567, 8.421707, 0.0, 0.0, 7.317389, 7.317389, 7.317389, -0.14092, -8.05077, -8.05077, -8.05077, 0.044027, 0.044027, 4.40e-07, -1.18331, -0.70729, -0.0759, -8.35771, 0.0, 9.490328, 0.0, 6.642287, 0.0, -6.50967, 0.0, -9.4278, 0.0, 0.0, 0.0, -2448.74, 0.0, -4639.74, 0.0, 0.059352, 0.0, -9.4278, 0.0, -4.9278, 0.0, 252.905, 252.905
7087.722, 0.0, 8.0, 0.0, 1312.082, 1311.915, 3218.803, 3218.635, -2.11439, 1.880681, 0.167725, -344.923, -344.815, 654.3065, 654.34, 0.303469, -2.73262, -0.10852, 59.41231, 59.39391, 246.6763, 246.6763, -0.08282, 0.798526, 0.018402, 0.0, 7.996722, 0.0, 7.94368, -0.12598, -0.12598, 0.054645, 7.94368, 0.0, 0.0, 7.696751, 7.696751, 7.696751, -0.12196, -8.05077, -8.05077, -8.05077, 0.040608, 0.040608, 4.06e-07, -1.11306, -0.66322, -0.05593, -8.37723, 0.0, 9.47992, 0.0, 6.622773, 0.0, -6.52008, 0.0, -8.94208, 0.0, 0.0, 0.0, -3372.72, 0.0, -5563.72, 0.0, 0.070661, 0.0, -8.94208, 0.0, -4.44208, 0.0, 254.63, 254.63
8001.803, 0.0, 8.0, 0.0, 1317.423, 1317.149, 3224.144, 3224.015, -3.0295, 2.134603, 0.27417, -350.754, -350.666, 648.4771, 648.48, 0.366389, -3.06065, -0.08795, 61.91505, 61.89434, 249.1791, 249.1791, -0.10987, 0.903209, 0.020706, 0.0, 7.447355, 0.0, 7.380951, -0.12239, -0.12239, 0.070692, 7.380951, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.12196, -8.19425, -8.19425, -8.19425, 0.042128, 0.042128, 4.21e-07, -1.17756, -0.74445, -0.05724, -8.42285, 0.0, 9.401628, 0.0, 6.577154, 0.0, -6.59837, 0.0, -8.37666, 0.0, 0.0, 0.0, -4286.8, 0.0, -6477.8, 0.0, 0.057913, 0.0, -8.37666, 0.0, -3.87666, 0.0, 256.57, 256.57
8977.306, 0.0, 8.0, 0.0, 1323.392, 1323.193, 3230.115, 3229.915, -2.65669, 2.352673, 0.199463, -357.27, -357.212, 641.9611, 642.02, 0.486843, -3.38448, -0.0589, 64.71249, 64.68948, 251.9765, 251.9765, -0.16129, 1.007887, 0.02301, 0.0, 6.924705, 0.0, 6.838516, -0.0765, -0.0765, 0.093177, 6.838516, 0.0, 0.0, 5.989624, 5.989624, 5.989624, -0.10299, -8.48123, -8.48123, -8.48123, 0.041368, 0.041368, 4.14e-07, -1.33015, -0.81602, -0.07529, -8.41009, 0.0, 9.317387, 0.0, 6.589915, 0.0, -6.68261, 0.0, -7.83153, 0.0, 0.0, 0.0, -5262.31, 0.0, -7453.31, 0.0, 0.062776, 0.0, -7.83153, 0.0, -3.33153, 0.0, 258.83, 258.83
